"Intent","Question","Answer","Entity"
"aire_acondicionado","por que esta apagado","Creo que no entendí tu pregunta. ¿Podrías reformularla?",
"aire_acondicionado","por que esta apagado Corazon","N/A","Easter_Entities"
"aire_acondicionado","por que esta apagado Hogwarts","N/A","Easter_Entities"
"aire_acondicionado","por que esta apagado queja","N/A","feedback"
"aire_acondicionado","por que esta apagado hora","N/A","hora"
"aire_acondicionado","por que esta apagado entrada","N/A","io"
"aire_acondicionado","por que esta apagado salida","N/A","io"
"aire_acondicionado","por que esta apagado subir","Creo que no entendí tu pregunta. ¿Podrías reformularla?","io"
"aire_acondicionado","por que esta apagado Link","N/A","Link-instrucciones"
"aire_acondicionado","por que esta apagado Instrucciones","Página principal: https://asklola.w3ibm.mybluemix.net/ 
Instalación iOS: https://asklola.w3ibm.mybluemix.net/ask-lola-instructions-ios
Instalación Android: https://asklola.w3ibm.mybluemix.net/ask-lola-instructions","Link-instrucciones"
"aire_acondicionado","por que esta apagado Av Belisario Dominguez","N/A","Lugares"
"aire_acondicionado","por que esta apagado Centro","N/A","Lugares"
"aire_acondicionado","por que esta apagado Plaza Andares","N/A","Lugares"
"aire_acondicionado","por que esta apagado Av 18 de marzo","N/A","Lugares"
"aire_acondicionado","por que esta apagado Periferico","N/A","Lugares"
"aire_acondicionado","por que esta apagado Av Calma","N/A","Lugares"
"aire_acondicionado","por que esta apagado Gran Plaza","N/A","Lugares"
"aire_acondicionado","por que esta apagado Providencia","N/A","Lugares"
"aire_acondicionado","por que esta apagado Glorieta Minerva","Creo que no entendí tu pregunta. ¿Podrías reformularla?","Lugares"
"aire_acondicionado","por que esta apagado Plaza Galerias","Creo que no entendí tu pregunta. ¿Podrías reformularla?","Lugares"
"aire_acondicionado","por que esta apagado Chapala","N/A","Lugares"
"aire_acondicionado","por que esta apagado Av Chapultepec","Creo que no entendí tu pregunta. ¿Podrías reformularla?","Lugares"
"aire_acondicionado","por que esta apagado Fraccionamiento Revolucion","Creo que no entendí tu pregunta. ¿Podrías reformularla?","Lugares"
"aire_acondicionado","por que esta apagado Expo Guadalajara","N/A","Lugares"
"aire_acondicionado","por que esta apagado El Fortin","N/A","Lugares"
"aire_acondicionado","por que esta apagado Periferico esquina con Vallarta","N/A","Lugares"
"aire_acondicionado","por que esta apagado Mariano Otero","N/A","Lugares"
"aire_acondicionado","por que esta apagado Av Lopez Mateos Sur","N/A","Lugares"
"aire_acondicionado","por que esta apagado UVM Sur","N/A","Lugares"
"aire_acondicionado","por que esta apagado Zapopan","N/A","Lugares"
"aire_acondicionado","por que esta apagado Av Lopez Mateos","N/A","Lugares"
"aire_acondicionado","por que esta apagado Av Lazaro Cardenas","N/A","Lugares"
"aire_acondicionado","por que esta apagado Plaza del Sol","Creo que no entendí tu pregunta. ¿Podrías reformularla?","Lugares"
"aire_acondicionado","por que esta apagado Plaza patria","N/A","Lugares"
"aire_acondicionado","por que esta apagado Avenida Aviacion","N/A","Lugares"
"aire_acondicionado","por que esta apagado love","Creo que no entendí tu pregunta. ¿Podrías reformularla?","miscEng"
"aire_acondicionado","por que esta apagado ninguna","N/A","ninguno"
"aire_acondicionado","por que esta apagado primero","N/A","opciones"
"aire_acondicionado","por que esta apagado segundo","N/A","opciones"
"aire_acondicionado","por que esta apagado coordinador","N/A","persona"
"aire_acondicionado","por que esta apagado creo","N/A","personal"
"aire_acondicionado","por que esta apagado eres","N/A","personal"
"aire_acondicionado","por que esta apagado vives","N/A","personal"
"aire_acondicionado","por que esta apagado tu","N/A","Pronombres"
"aire_acondicionado","por que esta apagado Lazaro Cardenas 1","N/A","Rutas"
"aire_acondicionado","por que esta apagado Patria 2","N/A","Rutas"
"aire_acondicionado","por que esta apagado Zapopan 3","Entiendo que necesitas información de la ruta Zapopan 3, ¿qué necesitas?","Rutas"
"aire_acondicionado","por que esta apagado Vallarta","N/A","Rutas"
"aire_acondicionado","por que esta apagado Lazaro Cardenas 2","N/A","Rutas"
"aire_acondicionado","por que esta apagado Sauz","Entiendo que necesitas información de la ruta Sauz, ¿qué necesitas?","Rutas"
"aire_acondicionado","por que esta apagado Santa Margarita","N/A","Rutas"
"aire_acondicionado","por que esta apagado Zalatitlan 1","N/A","Rutas"
"aire_acondicionado","por que esta apagado Artesanos 1","N/A","Rutas"
"aire_acondicionado","por que esta apagado Copernico","N/A","Rutas"
"aire_acondicionado","por que esta apagado Miravalle","Entiendo que necesitas información de la ruta Miravalle, ¿qué necesitas?","Rutas"
"aire_acondicionado","por que esta apagado Loma Dorada 1","N/A","Rutas"
"aire_acondicionado","por que esta apagado Agaves","N/A","Rutas"
"aire_acondicionado","por que esta apagado Olivos","N/A","Rutas"
"aire_acondicionado","por que esta apagado Tonala","N/A","Rutas"
"aire_acondicionado","por que esta apagado San Pedrito","N/A","Rutas"
"aire_acondicionado","por que esta apagado El Salto 1","Entiendo que necesitas información de la ruta El Salto 1, ¿qué necesitas?","Rutas"
"aire_acondicionado","por que esta apagado San Joaquin","N/A","Rutas"
"aire_acondicionado","por que esta apagado San Gaspar","N/A","Rutas"
"aire_acondicionado","por que esta apagado Santa Fe 1","N/A","Rutas"
"aire_acondicionado","por que esta apagado La Noria","Entiendo que necesitas información de la ruta La Noria, ¿qué necesitas?","Rutas"
"aire_acondicionado","por que esta apagado Artesanos","N/A","Rutas"
"aire_acondicionado","por que esta apagado El Salto","N/A","Rutas"
"aire_acondicionado","por que esta apagado Loma del Sur","N/A","Rutas"
"aire_acondicionado","por que esta apagado Tepeyac","Entiendo que necesitas información de la ruta Tepeyac, ¿qué necesitas?","Rutas"
"aire_acondicionado","por que esta apagado Zapopan 1","N/A","Rutas"
"aire_acondicionado","por que esta apagado Santa Fe","N/A","Rutas"
"aire_acondicionado","por que esta apagado Real de Colima","N/A","Rutas"
"aire_acondicionado","por que esta apagado Chapala","N/A","Rutas"
"aire_acondicionado","por que esta apagado Aviacion","N/A","Rutas"
"aire_acondicionado","por que esta apagado Loma Bonita","N/A","Rutas"
"aire_acondicionado","por que esta apagado Estadio","N/A","Rutas"
"aire_acondicionado","por que esta apagado Mariano Otero","N/A","Rutas"
"aire_acondicionado","por que esta apagado Loma Dorada","N/A","Rutas"
"aire_acondicionado","por que esta apagado Oblatos","Entiendo que necesitas información de la ruta Oblatos, ¿qué necesitas?","Rutas"
"aire_acondicionado","por que esta apagado Transito","N/A","Rutas"
"aire_acondicionado","por que esta apagado Periferico","N/A","Rutas"
"aire_acondicionado","por que esta apagado Patria 1","N/A","Rutas"
"aire_acondicionado","por que esta apagado Aguilas 1","N/A","Rutas"
"aire_acondicionado","por que esta apagado Aguilas 2","N/A","Rutas"
"aire_acondicionado","por que esta apagado San Isidro","N/A","Rutas"
"aire_acondicionado","por que esta apagado Zapopan 2","Entiendo que necesitas información de la ruta Zapopan 2, ¿qué necesitas?","Rutas"
"aire_acondicionado","por que esta apagado molesto","N/A","sentimientos"
"aire_acondicionado","por que esta apagado decepcionado","N/A","sentimientos"
"aire_acondicionado","por que esta apagado pagina web","N/A","servicio"
"aire_acondicionado","por que esta apagado reglamento","N/A","servicio"
"aire_acondicionado","por que esta apagado reembolso","N/A","servicio"
"aire_acondicionado","por que esta apagado transporte ctg","Creo que no entendí tu pregunta. ¿Podrías reformularla?","servicio"
"aire_acondicionado","por que esta apagado 3er turno manufactura","Creo que no entendí tu pregunta. ¿Podrías reformularla?","Turnos"
"aire_acondicionado","por que esta apagado Turno administrativo 8:30am - 5:30pm","N/A","Turnos"
"aire_acondicionado","por que esta apagado 1er turno manufactura","N/A","Turnos"
"aire_acondicionado","por que esta apagado Turno administrativo 7am - 4pm","N/A","Turnos"
"aire_acondicionado","por que esta apagado 2do turno manufactura","N/A","Turnos"
"aire_acondicionado","por que esta apagado Admin","N/A","Turnos_simple"
"aire_acondicionado","por que esta apagado Manufactura","N/A","Turnos_simple"
"aire_acondicionado","por que esta apagado manufactura","N/A","turnos_tipos"
"aire_acondicionado","por que esta apagado administrativos","Creo que no entendí tu pregunta. ¿Podrías reformularla?","turnos_tipos"
"capacidades","que sabes hacer","N/A",
"capacidades","que sabes hacer Corazon","Puedo brindarte información sobre las rutas, por ejemplo, su horario, su anden de salida, y su recorrido. Además, puedo ayudarte a encontrar una ruta que te lleve a tu destino, entre muchas otras cosas ! En qué te puedo ayudar ?","Easter_Entities"
"capacidades","que sabes hacer Hogwarts","Puedo brindarte información sobre las rutas, por ejemplo, su horario, su anden de salida, y su recorrido. Además, puedo ayudarte a encontrar una ruta que te lleve a tu destino, entre muchas otras cosas ! En qué te puedo ayudar ?","Easter_Entities"
"capacidades","que sabes hacer queja","N/A","feedback"
"capacidades","que sabes hacer hora","N/A","hora"
"capacidades","que sabes hacer entrada","N/A","io"
"capacidades","que sabes hacer salida","N/A","io"
"capacidades","que sabes hacer subir","N/A","io"
"capacidades","que sabes hacer Link","N/A","Link-instrucciones"
"capacidades","que sabes hacer Instrucciones","N/A","Link-instrucciones"
"capacidades","que sabes hacer Av Belisario Dominguez","N/A","Lugares"
"capacidades","que sabes hacer Centro","N/A","Lugares"
"capacidades","que sabes hacer Plaza Andares","N/A","Lugares"
"capacidades","que sabes hacer Av 18 de marzo","N/A","Lugares"
"capacidades","que sabes hacer Periferico","N/A","Lugares"
"capacidades","que sabes hacer Av Calma","N/A","Lugares"
"capacidades","que sabes hacer Gran Plaza","N/A","Lugares"
"capacidades","que sabes hacer Providencia","Puedo brindarte información sobre las rutas, por ejemplo, su horario, su anden de salida, y su recorrido. Además, puedo ayudarte a encontrar una ruta que te lleve a tu destino, entre muchas otras cosas ! En qué te puedo ayudar ?","Lugares"
"capacidades","que sabes hacer Glorieta Minerva","Puedo brindarte información sobre las rutas, por ejemplo, su horario, su anden de salida, y su recorrido. Además, puedo ayudarte a encontrar una ruta que te lleve a tu destino, entre muchas otras cosas ! En qué te puedo ayudar ?","Lugares"
"capacidades","que sabes hacer Plaza Galerias","Puedo brindarte información sobre las rutas, por ejemplo, su horario, su anden de salida, y su recorrido. Además, puedo ayudarte a encontrar una ruta que te lleve a tu destino, entre muchas otras cosas ! En qué te puedo ayudar ?","Lugares"
"capacidades","que sabes hacer Chapala","Entiendo que necesitas información de la ruta Chapala, ¿qué necesitas?","Lugares"
"capacidades","que sabes hacer Av Chapultepec","Puedo brindarte información sobre las rutas, por ejemplo, su horario, su anden de salida, y su recorrido. Además, puedo ayudarte a encontrar una ruta que te lleve a tu destino, entre muchas otras cosas ! En qué te puedo ayudar ?","Lugares"
"capacidades","que sabes hacer Fraccionamiento Revolucion","Puedo brindarte información sobre las rutas, por ejemplo, su horario, su anden de salida, y su recorrido. Además, puedo ayudarte a encontrar una ruta que te lleve a tu destino, entre muchas otras cosas ! En qué te puedo ayudar ?","Lugares"
"capacidades","que sabes hacer Expo Guadalajara","Puedo brindarte información sobre las rutas, por ejemplo, su horario, su anden de salida, y su recorrido. Además, puedo ayudarte a encontrar una ruta que te lleve a tu destino, entre muchas otras cosas ! En qué te puedo ayudar ?","Lugares"
"capacidades","que sabes hacer El Fortin","N/A","Lugares"
"capacidades","que sabes hacer Periferico esquina con Vallarta","N/A","Lugares"
"capacidades","que sabes hacer Mariano Otero","N/A","Lugares"
"capacidades","que sabes hacer Av Lopez Mateos Sur","N/A","Lugares"
"capacidades","que sabes hacer UVM Sur","N/A","Lugares"
"capacidades","que sabes hacer Zapopan","N/A","Lugares"
"capacidades","que sabes hacer Av Lopez Mateos","Puedo brindarte información sobre las rutas, por ejemplo, su horario, su anden de salida, y su recorrido. Además, puedo ayudarte a encontrar una ruta que te lleve a tu destino, entre muchas otras cosas ! En qué te puedo ayudar ?","Lugares"
"capacidades","que sabes hacer Av Lazaro Cardenas","N/A","Lugares"
"capacidades","que sabes hacer Plaza del Sol","N/A","Lugares"
"capacidades","que sabes hacer Plaza patria","N/A","Lugares"
"capacidades","que sabes hacer Avenida Aviacion","N/A","Lugares"
"capacidades","que sabes hacer love","N/A","miscEng"
"capacidades","que sabes hacer ninguna","N/A","ninguno"
"capacidades","que sabes hacer primero","N/A","opciones"
"capacidades","que sabes hacer segundo","N/A","opciones"
"capacidades","que sabes hacer coordinador","N/A","persona"
"capacidades","que sabes hacer creo","N/A","personal"
"capacidades","que sabes hacer eres","N/A","personal"
"capacidades","que sabes hacer vives","N/A","personal"
"capacidades","que sabes hacer tu","N/A","Pronombres"
"capacidades","que sabes hacer Lazaro Cardenas 1","Entiendo que necesitas información de la ruta Lázaro Cárdenas 1, ¿qué necesitas?","Rutas"
"capacidades","que sabes hacer Patria 2","N/A","Rutas"
"capacidades","que sabes hacer Zapopan 3","N/A","Rutas"
"capacidades","que sabes hacer Vallarta","N/A","Rutas"
"capacidades","que sabes hacer Lazaro Cardenas 2","N/A","Rutas"
"capacidades","que sabes hacer Sauz","N/A","Rutas"
"capacidades","que sabes hacer Santa Margarita","N/A","Rutas"
"capacidades","que sabes hacer Zalatitlan 1","N/A","Rutas"
"capacidades","que sabes hacer Artesanos 1","N/A","Rutas"
"capacidades","que sabes hacer Copernico","N/A","Rutas"
"capacidades","que sabes hacer Miravalle","Entiendo que necesitas información de la ruta Miravalle, ¿qué necesitas?","Rutas"
"capacidades","que sabes hacer Loma Dorada 1","N/A","Rutas"
"capacidades","que sabes hacer Agaves","N/A","Rutas"
"capacidades","que sabes hacer Olivos","N/A","Rutas"
"capacidades","que sabes hacer Tonala","N/A","Rutas"
"capacidades","que sabes hacer San Pedrito","N/A","Rutas"
"capacidades","que sabes hacer El Salto 1","N/A","Rutas"
"capacidades","que sabes hacer San Joaquin","N/A","Rutas"
"capacidades","que sabes hacer San Gaspar","N/A","Rutas"
"capacidades","que sabes hacer Santa Fe 1","Entiendo que necesitas información de la ruta Santa Fe 1, ¿qué necesitas?","Rutas"
"capacidades","que sabes hacer La Noria","N/A","Rutas"
"capacidades","que sabes hacer Artesanos","N/A","Rutas"
"capacidades","que sabes hacer El Salto","N/A","Rutas"
"capacidades","que sabes hacer Loma del Sur","N/A","Rutas"
"capacidades","que sabes hacer Tepeyac","N/A","Rutas"
"capacidades","que sabes hacer Zapopan 1","N/A","Rutas"
"capacidades","que sabes hacer Santa Fe","N/A","Rutas"
"capacidades","que sabes hacer Real de Colima","N/A","Rutas"
